time,type,uav_id,details
1.1,target_discovery,0,"{""target_id"": 5, ""position"": [1.5, 0.5]}"
10.2,target_discovery,1,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
11.9,target_discovery,0,"{""target_id"": 6, ""position"": [11.5, 0.5]}"
12.2,target_discovery,4,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
14.1,outer_complete,0,"{""cells_covered"": 14}"
14.1,inner_selection,,"{""selected_uavs"": [0]}"
14.3,target_discovery,6,"{""target_id"": 2, ""position"": [6.5, 10.5]}"
18.5,outer_complete,4,"{""cells_covered"": 13}"
18.5,inner_selection,,"{""selected_uavs"": [0, 4]}"
18.8,outer_complete,2,"{""cells_covered"": 14}"
18.8,inner_selection,,"{""selected_uavs"": [0, 4, 2]}"
19.4,outer_complete,3,"{""cells_covered"": 14}"
19.4,inner_selection,,"{""selected_uavs"": [0, 4, 2, 3]}"
22.1,outer_complete,5,"{""cells_covered"": 13}"
22.1,target_assignment,5,"{""target_id"": 2, ""distance"": 3.0}"
22.8,outer_complete,1,"{""cells_covered"": 14}"
22.8,target_assignment,1,"{""target_id"": 5, ""distance"": 4.0}"
24.4,mission_complete,5,{}
25.7,mission_complete,1,{}
26.5,outer_complete,6,"{""cells_covered"": 14}"
26.5,target_assignment,6,"{""target_id"": 6, ""distance"": 10.0}"
26.5,outer_complete,7,"{""cells_covered"": 12}"
26.5,target_assignment,7,"{""target_id"": 6, ""distance"": 4.0}"
28.5,target_discovery,2,"{""target_id"": 7, ""position"": [5.5, 5.5]}"
30.5,mission_complete,7,{}
36.6,mission_complete,6,{}
39.6,target_discovery,4,"{""target_id"": 4, ""position"": [4.5, 8.5]}"
42.1,target_discovery,2,"{""target_id"": 0, ""position"": [9.5, 9.5]}"
42.3,outer_complete,2,"{""cells_covered"": 23}"
42.3,target_assignment,2,"{""target_id"": 3, ""distance"": 9.0}"
42.9,outer_complete,3,"{""cells_covered"": 23}"
42.9,target_assignment,3,"{""target_id"": 1, ""distance"": 8.0}"
43.4,outer_complete,4,"{""cells_covered"": 22}"
43.4,target_assignment,4,"{""target_id"": 1, ""distance"": 6.0}"
47.9,mission_complete,4,{}
49.3,mission_complete,3,{}
50.3,outer_complete,0,"{""cells_covered"": 23}"
50.3,target_assignment,0,"{""target_id"": 3, ""distance"": 8.0}"
50.4,mission_complete,2,{}
58.4,mission_complete,0,{}
