time,type,uav_id,details
2.3,target_discovery,5,"{""target_id"": 10, ""position"": [1.5, 2.5]}"
4.2,target_discovery,0,"{""target_id"": 3, ""position"": [4.5, 0.5]}"
5.2,target_discovery,1,"{""target_id"": 5, ""position"": [0.5, 5.5]}"
7.5,target_discovery,0,"{""target_id"": 2, ""position"": [7.5, 0.5]}"
8.6,outer_complete,6,"{""cells_covered"": 6}"
9.7,target_discovery,0,"{""target_id"": 9, ""position"": [9.5, 0.5]}"
9.8,outer_complete,5,"{""cells_covered"": 8}"
11.1,outer_complete,4,"{""cells_covered"": 10}"
11.3,target_discovery,3,"{""target_id"": 7, ""position"": [2.5, 9.5]}"
12.2,target_discovery,8,"{""target_id"": 8, ""position"": [9.5, 4.5]}"
14.5,outer_complete,8,"{""cells_covered"": 6}"
15.8,outer_complete,3,"{""cells_covered"": 6}"
16.7,target_discovery,2,"{""target_id"": 11, ""position"": [1.5, 4.5]}"
17.5,target_discovery,9,"{""target_id"": 0, ""position"": [7.5, 10.5]}"
17.7,outer_complete,7,"{""cells_covered"": 8}"
17.8,outer_complete,2,"{""cells_covered"": 8}"
18.5,outer_complete,11,"{""cells_covered"": 6}"
21.3,outer_complete,10,"{""cells_covered"": 8}"
22.6,outer_complete,1,"{""cells_covered"": 21}"
23.8,outer_complete,0,"{""cells_covered"": 23}"
24.2,outer_complete,9,"{""cells_covered"": 10}"
