time,type,uav_id,details
1.1,target_discovery,0,"{""target_id"": 5, ""position"": [1.5, 0.5]}"
9.0,target_discovery,2,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
11.9,target_discovery,0,"{""target_id"": 6, ""position"": [11.5, 0.5]}"
12.3,target_discovery,6,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
13.4,outer_complete,2,"{""cells_covered"": 12}"
13.4,inner_selection,,"{""selected_uavs"": [2]}"
14.9,outer_complete,3,"{""cells_covered"": 7}"
14.9,inner_selection,,"{""selected_uavs"": [2, 3]}"
16.4,outer_complete,4,"{""cells_covered"": 14}"
16.4,inner_selection,,"{""selected_uavs"": [2, 3, 4]}"
16.5,target_discovery,6,"{""target_id"": 4, ""position"": [4.5, 8.5]}"
16.7,outer_complete,5,"{""cells_covered"": 9}"
16.7,inner_selection,,"{""selected_uavs"": [2, 3, 4, 5]}"
17.7,outer_complete,6,"{""cells_covered"": 12}"
17.7,target_assignment,6,"{""target_id"": 4, ""distance"": 1.0}"
17.7,target_assignment,6,"{""target_id"": 1, ""distance"": 3.0}"
18.0,outer_complete,7,"{""cells_covered"": 10}"
18.0,target_assignment,7,"{""target_id"": 5, ""distance"": 12.0}"
18.4,target_discovery,2,"{""target_id"": 7, ""position"": [5.5, 5.5]}"
22.0,mission_complete,6,{}
22.7,outer_complete,1,"{""cells_covered"": 22}"
22.7,target_assignment,1,"{""target_id"": 3, ""distance"": 12.0}"
23.8,outer_complete,0,"{""cells_covered"": 23}"
23.8,target_assignment,0,"{""target_id"": 6, ""distance"": 11.0}"
25.1,target_discovery,5,"{""target_id"": 0, ""position"": [9.5, 9.5]}"
28.2,mission_complete,7,{}
31.8,target_discovery,5,"{""target_id"": 2, ""position"": [6.5, 10.5]}"
32.9,mission_complete,1,{}
34.9,mission_complete,0,{}
57.1,outer_complete,2,"{""cells_covered"": 48}"
57.1,mission_complete,2,{}
63.5,outer_complete,4,"{""cells_covered"": 50}"
63.5,mission_complete,4,{}
64.0,outer_complete,3,"{""cells_covered"": 43}"
64.0,mission_complete,3,{}
66.8,outer_complete,5,"{""cells_covered"": 45}"
66.8,mission_complete,5,{}
