time,type,uav_id,details
1.1,target_discovery,0,"{""target_id"": 5, ""position"": [1.5, 0.5]}"
6.3,target_discovery,10,"{""target_id"": 10, ""position"": [4.5, 3.5]}"
11.9,target_discovery,0,"{""target_id"": 6, ""position"": [11.5, 0.5]}"
13.0,target_discovery,6,"{""target_id"": 2, ""position"": [6.5, 10.5]}"
13.4,target_discovery,2,"{""target_id"": 1, ""position"": [1.5, 7.5]}"
14.5,target_discovery,4,"{""target_id"": 4, ""position"": [4.5, 8.5]}"
16.1,target_discovery,3,"{""target_id"": 9, ""position"": [1.5, 6.5]}"
19.1,target_discovery,10,"{""target_id"": 7, ""position"": [5.5, 5.5]}"
19.2,outer_complete,10,"{""cells_covered"": 11}"
20.9,target_discovery,11,"{""target_id"": 8, ""position"": [5.5, 6.5]}"
21.0,outer_complete,11,"{""cells_covered"": 10}"
21.2,target_discovery,3,"{""target_id"": 11, ""position"": [6.5, 6.5]}"
21.3,outer_complete,3,"{""cells_covered"": 6}"
21.5,outer_complete,7,"{""cells_covered"": 8}"
21.9,outer_complete,2,"{""cells_covered"": 7}"
22.5,outer_complete,8,"{""cells_covered"": 8}"
22.6,outer_complete,1,"{""cells_covered"": 21}"
23.8,outer_complete,0,"{""cells_covered"": 23}"
25.0,outer_complete,9,"{""cells_covered"": 13}"
25.8,outer_complete,6,"{""cells_covered"": 5}"
28.7,outer_complete,5,"{""cells_covered"": 7}"
29.0,target_discovery,4,"{""target_id"": 3, ""position"": [8.5, 1.5]}"
29.1,outer_complete,4,"{""cells_covered"": 9}"
